,Video Title,Video URL,Published Date,Channel Title,Comment,Comment Author,Comment Published,Like Count (Comment)
46,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,"""You spend less time in the air so you burn less fuel"" seems pretty wrong. This would be the same as saying ""when you drive faster you burn less fuel with your car"". Which is obviously wrong. The big difference is, an aircraft needs certain speeds to maintain optimal lift conditions so it cannot just go slower without losing efficiency. But if it goes faster it needs obviously more fuel.",@schroeder1112,2025-05-28T13:42:22Z,0
47,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,I used to watch your videos on the Edovo app in prison and it helped me make it through,@samuelnevarez3850,2025-05-28T11:31:57Z,0
48,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,It makes no sense for a science site not to use the metric system.  30.000  feet...?,@MrLuisMartins666,2025-05-28T09:45:18Z,0
49,Why do planes fly so high?,https://www.youtube.com/watch?v=zeZddwimLc8,2025-05-21T14:31:31Z,Veritasium,I could watch these all day,@cholasimmons,2025-05-28T06:57:23Z,0
50,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Go to https://groundnews.com/Ve to see through media misconceptions and get all sides of every story. Subscribe to save 40% off the unlimited Vantage Plan access through our link.,@veritasium,2025-05-14T06:59:39Z,3132
51,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"At this point, I'm starting to think they are doing this on purpose creating chemicals that will kill you.",@NHRTYu,2025-05-31T18:33:39Z,0
52,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Better Living Through Chemistry ! I Call BS.,@WalterHayward-l6v,2025-05-31T18:29:20Z,0
53,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,I possibly been exposed to this because anything has done up Susquehanna River. Flows down to Columbia water system. I personally should write to our representatives in Congress both state and federal. I can't stress you enough. I voted for Trump to same America and Israel. Didn't want some braindead women in charge. Yes some research has been shut down because at the time wasting our money. I rather have individuals research over federal. Yes for example EPA can go and check in research in  colleges but can't do it with tax payers money.,@WilliamHollinger2019,2025-05-31T18:25:38Z,0
54,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"The solution is easy and obvious: <cyn> Stop drinking water and milk, stop eating food, stop using products. </cyn> 😋",@Streunekater,2025-05-31T18:15:33Z,0
55,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"I used to ask, if nothing sticks to Teflon what sticks Teflon to the pan? Now I know.",@WalterHayward-l6v,2025-05-31T18:09:07Z,0
56,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Wauw I am so glad you posted this video! I am so more aware of this now than ever. I always have thought it was a ticking time bomb but couldn't get a grasp of it. I'm glad you put this out there! The sources are really helpful too. I'm going to teach out to my water supplier and find out the levels,@ruud1025,2025-05-31T18:06:22Z,0
57,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Oxford chain lube for motorcycles contains PTFE. Bikers lube chain each 200-300km. Why it is still legal?,@theflyingdut4man,2025-05-31T18:02:59Z,0
58,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Flooorine,@matt7364,2025-05-31T17:59:01Z,0
59,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,You wont be able to even say the name of who poisoned all of us over the last 4 years.,@col.cottonhill6655,2025-05-31T17:48:21Z,0
60,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,Jews? Jews.,@redbarchettta,2025-05-31T17:47:02Z,0
61,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,When humans are smart enough to create and market stuff but not smart enough to make proper care of the product.,@popullarmmax,2025-05-31T17:35:20Z,0
62,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,You make the internet bill worth it.,@strange_man,2025-05-31T17:35:00Z,0
63,How One Company Secretly Poisoned The Planet,https://www.youtube.com/watch?v=SC2eSujzrUY,2025-05-14T14:07:28Z,Veritasium,"Thank you very much Veritasium team! Really solid level detail and evidence in comprehensive video, brilliant! Btw i recommend movie Dark waters with Mark Ruffalo which exposes exactly this case. Cheers",@MaldaCZ,2025-05-31T17:34:27Z,0
